id,timestp,permission,rootUrl,snippet,requestUrl,typ,ind,firstPartyRoot,parentCompany,watchlistHash,extraDetail,cookie,loc
1,1736258003862,monetization,https://www.amazon.in/,,https://tags.bluekai.com/site/36840?redir=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3Dbluekai.com%26id%3D%24_BK_UUID,advertising,-1,,BlueKai,,,0,
2,1736258003867,monetization,https://www.amazon.in/,,https://amazon.partners.tremorhub.com/sync?UIAM&redir=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3Dtelaria.com%26id%3D%5BPARTNER_ID%5D,advertising,-1,,Tremor Video,,,0,
3,1736258004066,monetization,https://www.amazon.in/,,https://beacon.krxd.net/usermatch.gif?partner=amzn&partner_uid=QKZrwHUwRXaeEK1zlcRUwg&redir=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3Dkrux.com%26id%3D,advertising,-1,,Krux,,,0,
4,1736258004014,monetization,https://www.amazon.in/,,https://public-prod-dspcookiematching.dmxleo.com/dspreply?dspId=1868&dspUserId=du5kWKZMS5aKMXlwr8LnYQ&redir=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3DdailymotionHMT2&id=&gdpr_consent=,advertising,-1,,,,,0,
5,1736258004193,monetization,https://www.amazon.in/,,https://sync.rfp.fout.jp/map?dsp_id=12&uid=6x8rrO_8RWOgzv3vA7Qu4w&gdpr_consent=,advertising,-1,,FreakOut,,,0,
6,1736258004441,monetization,https://www.amazon.in/,,https://rtb-csync.smartadserver.com/redir/?partnerid=145&partneruserid=Lh0g_3n_QN688vy-XroPLQ&gdpr_consent=,advertising,-1,,ConversantMedia,,,0,
7,1736258004486,monetization,https://www.amazon.in/,,https://match.sharethrough.com/sync/v1?source_id=wE4DpHXcQL5mguNBAJxVK3sW&source_user_id=u8EhN-vuQcylXGVkkKG40w&gdpr_consent=,advertising,-1,,Sharethrough,,,0,
8,1736258004522,monetization,https://www.amazon.in/,,https://odr.mookie1.com/t/v2?tagid=V2_393725&AMAZON_REGION_SPECIFIC_ENDPOINT=aax-eu.amazon-adsystem.com/s&src.visitorID=A3OgJXQnRB6bU_pm59lucA,advertising,-1,,WPP,,,0,
9,1736258004616,monetization,https://www.amazon.in/,,https://ms-cookie-sync.presage.io/user-sync?amazondsp_id=LO0akNoGT-GlFaP-BvtIwQ&redirect=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3DoguryHMT&id=&gdpr_consent=,advertising,-1,,,,,0,
10,1736258004665,monetization,https://www.amazon.in/,,https://x.bidswitch.net/sync_a9/val=tzbVWjeYQK-7_R0gZy9s9w&redirect=https://aax-eu.amazon-adsystem.com/s/ecm3?ex=bidswitch.com&id=${UUID}&gdpr_consent=,advertising,-1,,BidSwitch,,,0,
11,1736258004841,monetization,https://www.amazon.in/,,https://crb.kargo.com/api/v1/dsync/amazon?exid=JwbXXZzuSoOQtKSNAlbbuw&r=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3DKargoHMT&id=&gdpr_consent=,advertising,-1,,Kargo,,,0,
12,1736258005223,monetization,https://www.amazon.in/,,https://loadus.exelator.com/load/?p=204&g=8889&j=0,advertising,-1,,eXelate,,,0,
13,1736258068062,monetization,https://www.gst.gov.in/,,https://static.doubleclick.net/instream/ad_status.js,advertising,-1,,Google,,,0,
14,1736258193631,monetization,https://brainly.in/,,https://static.cloudflareinsights.com/beacon.min.js/vcd15cbe7772f49c399c6a5babf22c1241717689176015,analytics,-1,,,,,0,
15,1736258195302,monetization,https://brainly.in/,,https://www.google-analytics.com/analytics.js,analytics,-1,,Google,,,0,
16,1736258195262,monetization,https://brainly.in/,,https://sb.scorecardresearch.com/b?c1=2&c2=27114725&ns__t=1736258194495&ns_c=UTF-8&c8=Brainly.in%20-%20For%20students.%20By%20students.&c7=https%3A%2F%2Fbrainly.in%2F&c9=,analytics,-1,,comScore,,,0,
17,1736258194787,monetization,https://brainly.in/,,https://static.hotjar.com/c/hotjar-99379.js?sv=7,analytics,-1,,Hotjar,,,0,
18,1736258195583,monetization,https://brainly.in/,,https://stats.g.doubleclick.net/j/collect?t=dc&aip=1&_r=3&v=1&_v=j101&tid=UA-43900177-1&cid=285589483.1736258195&jid=1151727320&gjid=2056173868&_gid=801312320.1736258195&_u=aGBAgEAjAAAAAGAAI~&z=1335195234,advertising,-1,,Google,,,0,
