"id","timestp","permission","rootUrl","snippet","requestUrl","typ","ind","firstPartyRoot","parentCompany","watchlistHash","extraDetail","cookie","loc"
"1","1736069686217","location","https://ewha.ac.kr/ewhaen/index.do"," numbers.\"",\""변경할비밀번호\"":\""Change your password\"",\""정문정규노선주간\"":\""Main Gate Local Route(Day time)\"",\""공지시작일\"":\""start\"",\""보직\"":\""Administrative Appointment\"",\""cop.password\"":\""PassWord\"",\""button.user\"":\""user support\"",\""유급\"":\""Suspension\"",\""서울\"":\""SEOUL\"",\""cop.total\"":\""Total\"",\""button.search\"":\""Search\"",\""처리현황\"":\""Processing Status\"",\""이전글\"":\""Previous\"",\""cop.clsfNm\"":\""Class Name\"",\""button.use\"":\""use\"",\""button.qnaregist\"":\""Q&A create\"",\""id\"":\""User Id\"",\""day\"":\""Day\"",\""cop.clbNm\"":\""Cl","https://ewha.ac.kr/_custom/ewha/resource/js/message_en.js","region","[250,255]",NULL,NULL,"2222222222",NULL,"0",NULL
"2","1736069686217","location","https://ewha.ac.kr/ewhaen/index.do"," numbers.\"",\""변경할비밀번호\"":\""Change your password\"",\""정문정규노선주간\"":\""Main Gate Local Route(Day time)\"",\""공지시작일\"":\""start\"",\""보직\"":\""Administrative Appointment\"",\""cop.password\"":\""PassWord\"",\""button.user\"":\""user support\"",\""유급\"":\""Suspension\"",\""서울\"":\""SEOUL\"",\""cop.total\"":\""Total\"",\""button.search\"":\""Search\"",\""처리현황\"":\""Processing Status\"",\""이전글\"":\""Previous\"",\""cop.clsfNm\"":\""Class Name\"",\""button.use\"":\""use\"",\""button.qnaregist\"":\""Q&A create\"",\""id\"":\""User Id\"",\""day\"":\""Day\"",\""cop.clbNm\"":\""Cl","https://ewha.ac.kr/_custom/ewha/resource/js/message_en.js","city","[250,255]",NULL,NULL,"2222222222",NULL,"0",NULL
"3","1736069689988","monetization","https://ewha.ac.kr/ewhaen/index.do",NULL,"https://ssl.google-analytics.com/ga.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"4","1736069689988","tracking","https://ewha.ac.kr/ewhaen/index.do","{""reqUrl"":""https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1343470838&utmhn=ewha.ac.kr&utmcs=UTF-8&utmsr=1920x1200&utmvp=1280x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=EWHA%20WOMANS%20UNIVERSITY&utmhid=794218283&utmr=-&utmp=%2Fewhaen%2Findex.do&utmht=1736069689287&utmac=UA-43133752-1&utmcc=__utma%3D186790588.275717308.1736069689.1736069689.1736069689.1%3B%2B__utmz%3D186790588.1736069689.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1780923960&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~"",""requestBody"":null,""responseData"":""GIF89a\u0001\u0000\u0001\u0000��\u0000���\u0000\u0000\u0000,\u0000\u0000\u0000\u0000\u0001\u0000\u0001\u0000\u0000\u0002\u0002D\u0001\u0000;""","https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1343470838&utmhn=ewha.ac.kr&utmcs=UTF-8&utmsr=1920x1200&utmvp=1280x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=EWHA%20WOMANS%20UNIVERSITY&utmhid=794218283&utmr=-&utmp=%2Fewhaen%2Findex.do&utmht=1736069689287&utmac=UA-43133752-1&utmcc=__utma%3D186790588.275717308.1736069689.1736069689.1736069689.1%3B%2B__utmz%3D186790588.1736069689.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1780923960&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~","trackingPixel","[11,542]",NULL,"Google",NULL,NULL,"0",NULL
"5","1736069759867","monetization","https://blueweb.co.kr/",NULL,"https://ssl.google-analytics.com/ga.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"6","1736069759601","tracking","https://blueweb.co.kr/","{""reqUrl"":""https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=742054231&utmhn=blueweb.co.kr&utmcs=EUC-KR&utmsr=1920x1200&utmvp=1263x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%20%EB%8C%80%ED%91%9C%20%EC%9B%B9%ED%98%B8%EC%8A%A4%ED%8C%85%20-%20(%EC%A3%BC)%EB%B8%94%EB%A3%A8%EC%9B%B9&utmhid=484470872&utmr=-&utmp=%2F&utmht=1736069759247&utmac=UA-462585-1&utmcc=__utma%3D47421368.206132730.1736069759.1736069759.1736069759.1%3B%2B__utmz%3D47421368.1736069759.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=2097141127&utmredir=1&utmu=DBAAAAAAAAAAAAAAAAAAAAAE~"",""requestBody"":null,""responseData"":""GIF89a\u0001\u0000\u0001\u0000��\u0000���\u0000\u0000\u0000,\u0000\u0000\u0000\u0000\u0001\u0000\u0001\u0000\u0000\u0002\u0002D\u0001\u0000;""","https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=742054231&utmhn=blueweb.co.kr&utmcs=EUC-KR&utmsr=1920x1200&utmvp=1263x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%20%EB%8C%80%ED%91%9C%20%EC%9B%B9%ED%98%B8%EC%8A%A4%ED%8C%85%20-%20(%EC%A3%BC)%EB%B8%94%EB%A3%A8%EC%9B%B9&utmhid=484470872&utmr=-&utmp=%2F&utmht=1736069759247&utmac=UA-462585-1&utmcc=__utma%3D47421368.206132730.1736069759.1736069759.1736069759.1%3B%2B__utmz%3D47421368.1736069759.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=2097141127&utmredir=1&utmu=DBAAAAAAAAAAAAAAAAAAAAAE~","trackingPixel","[11,639]",NULL,"Google",NULL,NULL,"0",NULL
"7","1736070391586","monetization","https://www.interworksmedia.co.kr/",NULL,"https://static.doubleclick.net/instream/ad_status.js","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"8","1736070456724","monetization","https://everytime.kr/",NULL,"https://stats.g.doubleclick.net/g/collect?v=2&tid=G-85ZNEFVRGL&cid=896880527.1736070456&gtm=45je4cc1v9116099832za200&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=101925629~102067555~102067808~102081485~102198178","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"9","1736070520661","monetization","https://display.wconcept.co.kr/rn/women",NULL,"https://www.google-analytics.com/analytics.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"10","1736070522984","monetization","https://display.wconcept.co.kr/rn/women",NULL,"https://www.datadoghq-browser-agent.com/us1/v5/datadog-rum.js","analytics","-1",NULL,NULL,NULL,NULL,"0",NULL
"11","1736070522947","monetization","https://display.wconcept.co.kr/rn/women",NULL,"https://websdk.appsflyer.com/?st=banners&","advertising","-1",NULL,"AppsFlyer",NULL,NULL,"0",NULL
"12","1736070523299","monetization","https://display.wconcept.co.kr/rn/women",NULL,"https://googleads.g.doubleclick.net/pagead/viewthroughconversion/856703668/?random=1736070522216&cv=11&fst=1736070522216&bg=ffffff&guid=ON&async=1&gtm=45be4cc1v877842742za200&gcd=13l3l3l3l1l1&dma=0&tag_exp=101925629~102067555~102067808~102081485~102198178&u_w=1920&u_h=1200&url=https%3A%2F%2Fdisplay.wconcept.co.kr%2Frn%2Fwomen&hn=www.googleadservices.com&frm=0&tiba=W%EC%BB%A8%EC%85%89(W%20CONCEPT)&npa=0&pscdl=noapi&auid=422023842.1736070522&fdr=QA&data=event%3Dgtag.config&rfmt=3&fmt=4","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"13","1736070523011","monetization","https://display.wconcept.co.kr/rn/women",NULL,"https://www.facebook.com/tr?id=602779483174145&ev=PageView&noscript=1","social","-1",NULL,"Facebook",NULL,NULL,"0",NULL
"14","1736070590198","monetization","https://www.businesskorea.co.kr/",NULL,"https://www.google-analytics.com/analytics.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"15","1736070594095","monetization","https://www.businesskorea.co.kr/",NULL,"https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-2580425104918553","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"16","1736070593742","monetization","https://www.businesskorea.co.kr/",NULL,"https://googleads.g.doubleclick.net/pagead/html/r20241212/r20190131/zrt_lookup_fy2021.html","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"17","1736070592451","monetization","https://www.businesskorea.co.kr/",NULL,"https://dis.criteo.com/dis/usersync.aspx?r=4&p=14&cp=google&cu=1&url=https%3A%2F%2Fcm.g.doubleclick.net%2Fpixel%3Fgoogle_nid%3Dcjp%26google_hm%3D%40%40CRITEO_USERID%40%40%26google_push%3DAXcoOmTDI4lTJKjnqZUNmI2i1sIt5LfFFKeC3oQQYAIbgfuS6cU0s0O7lMUmwxIT0ndUCR14wCBKRpehqjenmvy57vnbFtBoiGugC-Ss5b3ON5Cbj3--9xamGKlmi7HbRv_nDd24pXC-GyNrkXph0J0XYK2lQQ&google_gid=CAESEF6-Vy8TInmN5-Yk8Ezp6rs&google_cver=1","advertising","-1",NULL,"Criteo",NULL,NULL,"0",NULL
