URL,Countries
10x10.co.kr,"southkorea"
5movierulz.es,"spain"
9news.com.au,"australia"
aboutitonline.co.za,"southafrica"
addthis.com,"australia;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
advantagetvs.in,"india"
aena.es,"spain"
ajou.ac.kr,"southkorea"
amazonaws.com,"australia;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
aol.com,"singapore;southkorea"
apaci.com.au,"australia"
aparat.com,"australia;canada;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
apnews.com,"singapore;southafrica"
asideas.de,"germany"
atlassian.com,"singapore"
atomile.com,"australia;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
audiencemanager.de,"germany"
autoinsure.com.sg,"singapore"
behmelody.in,"india"
best-loans.co.za,"southafrica"
betnacional.com,"australia;canada;germany;india;singapore;southafrica;southkorea;spain"
bets3.in,"india"
biblegateway.com,"canada;southkorea;unitedstates"
bizhost.kr,"southkorea"
blooket.com,"singapore"
britannica.com,"unitedstates"
businessinsider.com,"singapore;southkorea"
businessinsider.in,"india"
businesswire.com,"spain"
buzzfeed.com,"unitedstates"
byapps.co.kr,"southkorea"
campograndenews.com.br,"brazil"
canstockphoto.es,"spain"
capetown.gov.za,"southafrica"
castillalamancha.es,"spain"
cbf.com.br,"brazil"
chaoscube.co.kr,"southkorea"
churchcenter.com,"unitedstates"
cimb.com.sg,"singapore"
citibank.co.in,"india"
ciutatgranturia.es,"spain"
clarin.com,"canada"
cloudinary.com,"spain"
cloudpit.de,"germany"
clubrunner.ca,"canada"
cnbc.com,"singapore"
cnbcindonesia.com,"australia"
cnn.com,"india"
cnnindonesia.com,"singapore;unitedstates"
codere.es,"spain"
coldstorage.com.sg,"singapore"
comunidadmontepinar.es,"spain"
conforama.es,"spain"
coolmathgames.com,"australia;brazil;canada;southkorea;unitedstates"
coolrom.com.au,"australia"
corpinter.de,"germany"
cpgcorp.com.sg,"singapore"
cput.ac.za,"southafrica"
cricket.com.au,"australia"
cruzroja.es,"spain"
dafont.com,"unitedstates"
dcinside.com,"singapore"
detran.rj.gov.br,"brazil"
diabetes.ca,"canada"
diamondtenderhouse.co.za,"southafrica"
dicasdemulher.com.br,"brazil"
digikala.com,"australia;brazil;canada;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
dlsite.com,"singapore"
dmtu.kr,"southkorea"
dso.org.sg,"singapore"
economistjurist.es,"spain"
edunavi.kr,"southkorea"
egyankosh.ac.in,"india"
emsservice.de,"germany"
endlessholidays.co.za,"southafrica"
erahosting.es,"spain"
espn.com,"singapore"
espn.com.sg,"singapore"
espncricinfo.com,"canada"
etmsdrive.in,"india"
evolutio.es,"spain"
exclusivebooks.co.z,"southafrica"
ezlink.com.sg,"singapore"
fakaza2022.co.za,"southafrica"
fandom.com,"southafrica"
fantasticfurniture.com.au,"australia"
fastcompany.com,"india;singapore"
fedex.com,"unitedstates"
first-ns.de,"germany"
fnmt.es,"spain"
forbes.com,"singapore;southkorea"
fortune.com,"singapore;southafrica;unitedstates"
foxnews.com,"brazil;singapore"
fsca.co.za,"southafrica"
futbin.com,"brazil;canada;southafrica;unitedstates"
gastecnologia.com.br,"brazil"
getpocket.com,"singapore"
gitlab.com,"canada;singapore"
goal.com,"canada;southkorea"
goldcoastbulletin.com.au,"australia"
gongsil.kr,"southkorea"
goodreturns.in,"india"
graminmedia.in,"india"
gstvoucher.gov.sg,"singapore"
gwfence.co.kr,"southkorea"
haberler.com,"unitedstates"
hamyar.in,"india"
healthhub.sg,"singapore"
healthxchange.sg,"singapore"
heraldsun.com.au,"australia"
highwebmedia.com,"australia;canada;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
hns.net.in,"india"
homage.sg,"singapore"
hostingplatform.net.au,"australia"
houseandhome.co.za,"southafrica"
hp.gov.in,"india"
huffingtonpost.com,"singapore;unitedstates"
huffpost.com,"singapore;southkorea;unitedstates"
iaa.es,"spain"
ibercaja.es,"spain"
ibomma.org.in,"india"
idnad.co.kr,"southkorea"
ifev.es,"spain"
ignou.ac.in,"india"
ilikesponsorad.co.kr,"southkorea"
immunet.com,"australia;brazil;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
india.com,"canada;southkorea"
indiatimes.com,"southafrica"
infox.sg,"singapore"
inmobi.com,"unitedstates"
instructure.com,"unitedstates"
investopedia.com,"singapore;unitedstates"
irctc.co.in,"india"
isaimini.com.es,"spain"
ite.edu.sg,"singapore"
ixbt.com,"singapore"
jccm.es,"spain"
jetspotnetworks.in,"india"
jk.gov.in,"india"
joburg.org.za,"southafrica"
jusbrasil.com.br,"brazil"
justicia.es,"spain"
kangwon.ac.kr,"southkorea"
kerala.gov.in,"india"
kfc.com.au,"australia"
knps.or.kr,"southkorea"
kohls.com,"australia;spain;unitedstates"
kroton.com.br,"brazil"
ktu.edu.in,"india"
kunden.de,"germany"
leapaws.com.au,"australia"
lenskart.sg,"singapore"
letras.mus.br,"brazil"
lifehealthcare.co.za,"southafrica"
linx.com.br,"brazil"
livedoor.com,"canada"
livescore.co.kr,"southkorea"
lojavirtualnuvem.com.br,"brazil"
luciferdonghua.in,"india"
mahaonline.gov.in,"india"
manager-magazin.de,"germany"
mapfre.es,"spain"
marketwatch.com,"canada;singapore"
marksandspencer.in,"india"
maxpreps.com,"brazil"
mcdonalds.co.za,"southafrica"
meba.kr,"southkorea"
metroworldnews.com.br,"brazil"
mhrdnats.gov.in,"india"
michaelhill.com.au,"australia"
miwifi.com,"australia;india;southafrica;southkorea"
mlb.com,"germany;southafrica;unitedstates"
mom-ent.co.kr,"southkorea"
moneycontrol.com,"canada;singapore"
motosan.es,"spain"
mtnbusiness.co.za,"southafrica"
mynet.com,"canada;india;unitedstates"
mynrma.com.au,"australia"
nacex.es,"spain"
nafa.edu.sg,"singapore"
nairaland.com,"brazil;india;spain"
nasmedia.co.kr,"southkorea"
nationalgallery.sg,"singapore"
ncvtmis.gov.in,"india"
nesine.com,"brazil"
netclusive.de,"germany"
netvirtue.com.au,"australia"
newsweek.com,"canada;unitedstates"
newyorker.com,"southkorea"
nexusmods.com,"canada;singapore;unitedstates"
nginx.com,"india;singapore;unitedstates"
nikkansports.com,"australia;brazil;germany;spain"
nirvanamemorialcolumbarium.sg,"singapore"
noodlemagazine.com,"singapore"
nrw.de,"germany"
ns.sg,"singapore"
nsdl.co.in,"india"
nsfas.org.za,"southafrica"
nypost.com,"brazil;singapore"
odysseylabel.com.au,"australia"
ofs.edu.sg,"singapore"
okfurniture.co.za,"southafrica"
olx.com.br,"brazil"
online.de,"germany"
openai.com,"southafrica;southkorea;spain"
oricom.ca,"canada"
origindigital-pac.com.au,"australia"
paloaltonetworks.com,"unitedstates"
pariksha.nic.in,"india"
partying.sg,"singapore"
paypal.com,"singapore"
personio-internal.de,"germany"
philippine-embassy.org.sg,"singapore"
pmmodiyojana.in,"india"
pnbibanking.in,"india"
portaldeprefeitura.com.br,"brazil"
posb.com.sg,"singapore"
preciousnetcom.in,"india"
prudential.com.sg,"singapore"
pubt.in,"india"
qala.com.sg,"singapore"
qualtrics.com,"unitedstates"
quicklane.com.sg,"singapore"
quizlet.com,"southafrica"
rapidshare.de,"germany"
rayjump.com,"australia;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
realtor.com,"canada;singapore"
redstudio.co.kr,"southkorea"
rentoza.co.z,"southafrica"
reuters.com,"brazil"
riovagas.com.br,"brazil"
riss.kr,"southkorea"
rub.de,"germany"
samsungknox.com,"australia;brazil;canada;germany;india;singapore;southkorea;spain;unitedstates"
sattakingreal.in,"india"
sgbizowners.sg,"singapore"
shar.es,"spain"
sharethis.com,"canada"
shoptoshop.co.za,"southafrica"
singaporehost.sg,"singapore"
singaporepools.com.sg,"singapore"
singularcdn.net.br,"brazil"
sio2.com.sg,"singapore"
skillsfuture.gov.sg,"singapore"
skullcandy.in,"india"
sky.com,"spain"
skype.com,"unitedstates"
sohu.com,"singapore"
sophos.com,"singapore"
spa-1.com.sg,"singapore"
spectrum.com,"singapore;southafrica"
sterra.sg,"singapore"
suss.edu.sg,"singapore"
synology.com,"unitedstates"
tatasteel.co.in,"india"
tds.de,"germany"
techcrunch.com,"australia;unitedstates"
temu.com,"southafrica"
theatlantic.com,"singapore;unitedstates"
theguardian.com,"unitedstates"
theloop.com.au,"australia"
theverge.com,"unitedstates"
ticketek.com.au,"australia"
timesofindia.com,"australia;canada;singapore;southkorea;spain"
tinyurl.com,"singapore;southkorea"
tlabs.ac.za,"southafrica"
tnreginet.gov.in,"india"
todamateria.com.br,"brazil"
toyota.co.za,"southafrica"
tracetogether.gov.sg,"singapore"
transitlink.com.sg,"singapore"
tu-berlin.de,"germany"
twilio.com,"singapore"
twip.kr,"southkorea"
typepad.com,"australia"
ubuy.com.sg,"singapore"
udag.de,"germany"
ui-dns.de,"germany"
ui-portal.de,"germany"
uib.es,"spain"
ultipro.ca,"canada"
uma.es,"spain"
uni-karlsruhe.de,"germany"
uni-kiel.de,"germany"
uni-kl.de,"germany"
uni-mannheim.de,"germany"
uni-muenchen.de,"germany"
uni-siegen.de,"germany"
uni-trier.de,"germany"
univates.br,"brazil"
unsw.edu.au,"australia"
ups.com,"germany;india;southafrica;spain"
upsconline.nic.in,"india"
upwork.com,"india;southkorea"
usatoday.com,"singapore;unitedstates"
usizy.es,"spain"
usnews.com,"canada;india;singapore;unitedstates"
valuechampion.sg,"singapore"
varzesh3.com,"australia;canada;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
vox.com,"australia;brazil;germany;india;singapore;southafrica;southkorea;spain;unitedstates"
walmart.com,"spain"
wayfair.com,"singapore;unitedstates"
weather.com,"southkorea;unitedstates"
weeklytimesnow.com.au,"australia"
wemesh.ca,"canada"
wired.com,"singapore;southafrica;unitedstates"
womensweekly.com.sg,"singapore"
wonjunlab.co.kr,"southkorea"
writerswrite.co.za,"southafrica"
wsu.ac.za,"southafrica"
xerox.com,"southafrica"
xtris.com.sg,"singapore"
yabamtoy.co.kr,"southkorea"
yahoo.com,"unitedstates"
yellowpages.com.au,"australia"
youronlinechoices.com,"singapore;southafrica;spain;unitedstates"
yourtv.com.au,"australia"
youthopia.sg,"singapore"
yr.com.sg,"singapore"
zardfilm.in,"india"
zdnet.com,"unitedstates"
zula.sg,"singapore"
