"id","timestp","permission","rootUrl","snippet","requestUrl","typ","ind","firstPartyRoot","parentCompany","watchlistHash","extraDetail","cookie","loc"
"1","1737644943321","monetization","https://www.resbank.co.za/",NULL,"https://www.google-analytics.com/g/collect?v=2&tid=G-5X04FPZECZ&gtm=45je51m0v9110098079z89185196512za200zb9185196512&_p=1737644939680&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=102067555~102067808~102081485~102123608&cid=533974260.1737644943&ul=en-us&sr=960x1707&ir=1&frm=0&pscdl=noapi&_eu=EA&_s=1&sid=1737644942&sct=1&seg=0&dl=https%3A%2F%2Fwww.resbank.co.za%2F&dt=Home&en=page_view&_fv=1&_nsi=1&_ss=1&tfd=3987","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"2","1737645075618","monetization","http://ufh.ac.za/",NULL,"https://www.google-analytics.com/analytics.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"3","1737645075607","monetization","http://ufh.ac.za/",NULL,"https://connect.facebook.net/en_US/sdk.js","social","-1",NULL,"Facebook",NULL,NULL,"0",NULL
"4","1737645079244","monetization","http://ufh.ac.za/",NULL,"https://static.doubleclick.net/instream/ad_status.js","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"5","1737645075618","tracking","http://ufh.ac.za/","{""reqUrl"":""http://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=5936534&utmhn=ufh.ac.za&utmcs=UTF-8&utmsr=960x1707&utmvp=847x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=University%20of%20Fort%20Hare%20%7C%20Together%20in%20Excellence&utmhid=115721725&utmr=-&utmp=%2F&utmht=1737645075442&utmac=UA-54645617-1&utmcc=__utma%3D176266874.1809115619.1737645073.1737645075.1737645075.1%3B%2B__utmz%3D176266874.1737645075.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=703361957&utmredir=1&utmu=qBAAAAAAAAAAAAAAAAABAAAE~"",""requestBody"":null,""responseData"":""GIF89a\u0001\u0000\u0001\u0000��\u0000���\u0000\u0000\u0000,\u0000\u0000\u0000\u0000\u0001\u0000\u0001\u0000\u0000\u0002\u0002D\u0001\u0000;""","http://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=5936534&utmhn=ufh.ac.za&utmcs=UTF-8&utmsr=960x1707&utmvp=847x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=University%20of%20Fort%20Hare%20%7C%20Together%20in%20Excellence&utmhid=115721725&utmr=-&utmp=%2F&utmht=1737645075442&utmac=UA-54645617-1&utmcc=__utma%3D176266874.1809115619.1737645073.1737645075.1737645075.1%3B%2B__utmz%3D176266874.1737645075.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=703361957&utmredir=1&utmu=qBAAAAAAAAAAAAAAAAABAAAE~","trackingPixel","[11,556]",NULL,"Google",NULL,NULL,"0",NULL
"6","1737645141236","monetization","https://www.guzzle.co.za/",NULL,"https://s7.addthis.com/js/300/addthis_widget.js#pubid=ra-4ed62a521e24b076","social","-1",NULL,"AddThis",NULL,NULL,"0",NULL
"7","1737645145945","monetization","https://www.guzzle.co.za/",NULL,"https://connect.facebook.net/en_US/all.js#appId=169513806444117","social","-1",NULL,"Facebook",NULL,NULL,"0",NULL
"8","1737645146318","monetization","https://www.guzzle.co.za/",NULL,"https://www.facebook.com/tr/?id=1266410917649468&ev=PageView&dl=https%3A%2F%2Fwww.guzzle.co.za%2F&rl=&if=false&ts=1737645145945&sw=960&sh=1707&v=2.9.180&r=stable&ec=0&o=4126&fbp=fb.2.1737645145944.685105707136674734&ler=empty&it=1737645145335&coo=false&rqm=GET","social","-1",NULL,"Facebook",NULL,NULL,"0",NULL
"9","1737645148336","monetization","https://www.guzzle.co.za/",NULL,"https://www.google-analytics.com/g/collect?v=2&tid=G-Y3MQBVRSH1&gtm=45je51m0v871538350za200&_p=1737645073000&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=102067555~102067808~102081485~102123608~102308675&cid=1809115619.1737645073&ul=en-us&sr=960x1707&ir=1&frm=0&pscdl=noapi&_eu=EA&_s=2&sid=1737645073&sct=1&seg=1&dl=http%3A%2F%2Fufh.ac.za%2F&dt=University%20of%20Fort%20Hare%20%7C%20Together%20in%20Excellence&en=user_engagement&_et=67996&tfd=71806","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"10","1737645141706","monetization","https://www.guzzle.co.za/",NULL,"https://www.googleoptimize.com/optimize.js?id=OPT-MX29L9J","analytics","-1",NULL,NULL,NULL,NULL,"0",NULL
"11","1737645177655","monetization","https://www.guzzle.co.za/",NULL,"https://browser-intake-datadoghq.com/api/v2/rum?ddsource=browser&ddtags=sdk_version%3A5.30.0%2Capi%3Axhr%2Cenv%3Aproduction%2Cservice%3Avimeo-player%2Cversion%3A4.39.59&dd-api-key=pub6bdc7708c11bd4be10d3e148b4dbf64e&dd-evp-origin-version=5.30.0&dd-evp-origin=browser&dd-request-id=ab51a68e-bfd9-4e35-937f-640fca12c578&batch_time=1737645147345","analytics","-1",NULL,NULL,NULL,NULL,"0",NULL
"12","1737645142738","monetization","https://www.guzzle.co.za/",NULL,"https://www.googleadservices.com/pagead/conversion.js","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"13","1737645146646","monetization","https://www.guzzle.co.za/",NULL,"https://static.vic-m.co/ads/vicinity-head-tag-v1.js?zoneId=4645","advertising","-1",NULL,NULL,NULL,NULL,"0",NULL
"14","1737645148223","monetization","https://www.guzzle.co.za/",NULL,"https://cmp.inmobi.com/choice/0DPeaBQt7AU5V/www.guzzle.co.za/choice.js?tag_version=V3","advertising","-1",NULL,"InMobi",NULL,NULL,"0",NULL
"15","1737645148177","monetization","https://www.guzzle.co.za/",NULL,"https://cdn.mookie1.com/containr.js","advertising","-1",NULL,"WPP",NULL,NULL,"0",NULL
"16","1737645148232","monetization","https://www.guzzle.co.za/",NULL,"https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1018659839/?random=1737645142740&cv=9&fst=1737645142740&num=1&guid=ON&resp=GooglemKTybQhCsO&eid=376635471%2C375603261%2C466465926%2C512247839&u_h=1707&u_w=960&u_ah=1667&u_aw=960&u_cd=24&u_his=4&u_tz=0&u_java=false&u_nplug=5&u_nmime=2&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fwww.guzzle.co.za%2F&tiba=For%20all%20of%20SA%27s%20Retail%20%26%20Catalogue%20Newspaper%20Specials%20%E2%80%94%20www.guzzle.co.za&hn=www.googleadservices.com&us_privacy=error&rfmt=3&fmt=4","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"17","1737645148241","monetization","https://www.guzzle.co.za/",NULL,"https://pagead2.googlesyndication.com/pagead/js/google_top_exp.js?fcd=true","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"18","1737645146923","tracking","https://www.guzzle.co.za/","is\"",\""partnerId\"":\""\"",\""active\"":false},\""xandr\"":{\""partnerTypeId\"":0,\""id\"":\""xandr\"",\""partnerId\"":\""\"",\""active\"":true},\""zeotap\"":{\""partnerTypeId\"":0,\""id\"":\""zeotap\"",\""partnerId\"":\""1380\"",\""active\"":false}}},\""user\"":{\""id\"":\""\"",\""ip\"":\""34.35.29.29\"",\""fingerprint\"":\""34.35.29.29:2\"",\""audienceMemberships\"":null,\""isNew\"":false,\""requiresFingerprint\"":false,\""ios\"":false,\""cached\"":false,\""optOut\"":false},\""session\"":{\""id\"":\""\"",\""isNew\"":false},\""conversions\"":{\""baseScript\"":false,\""alwaysF","https://carbon-cdn.ccgateway.net/script?id=www.guzzle.co.za&parentId=2d8602113c","ipAddress","[250,261]",NULL,NULL,"1111111111",NULL,"0",NULL
"19","1737645146646","tracking","https://www.guzzle.co.za/",NULL,"https://static.vic-m.co/ads/vicinity-head-tag-v1.js?zoneId=4645","fingerprinting","-1",NULL,NULL,NULL,NULL,"0",NULL
"20","1737645146109","tracking","https://www.guzzle.co.za/","{""reqUrl"":""https://www.facebook.com/tr/?id=1266410917649468&ev=PageView&dl=https%3A%2F%2Fwww.guzzle.co.za%2F&rl=&if=false&ts=1737645145945&sw=960&sh=1707&v=2.9.180&r=stable&ec=0&o=4126&fbp=fb.2.1737645145944.685105707136674734&ler=empty&it=1737645145335&coo=false&rqm=GET"",""requestBody"":null,""responseData"":""""","https://www.facebook.com/tr/?id=1266410917649468&ev=PageView&dl=https%3A%2F%2Fwww.guzzle.co.za%2F&rl=&if=false&ts=1737645145945&sw=960&sh=1707&v=2.9.180&r=stable&ec=0&o=4126&fbp=fb.2.1737645145944.685105707136674734&ler=empty&it=1737645145335&coo=false&rqm=GET","trackingPixel","[11,271]",NULL,"Facebook",NULL,NULL,"0",NULL
"21","1737645148336","tracking","https://www.guzzle.co.za/","{""reqUrl"":""https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=2101808735&utmhn=www.guzzle.co.za&utmt=event&utme=5(Track*page_95386*1)(0)&utmcs=UTF-8&utmsr=960x1707&utmvp=847x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=For%20all%20of%20SA%27s%20Retail%20%26%20Catalogue%20Newspaper%20Specials%20%E2%80%94%20www.guzzle.co.za&utmhid=2134918789&utmr=-&utmp=%2F&utmht=1737645148122&utmac=UA-35867421-1&utmni=1&utmcc=__utma%3D80123009.1224272066.1737645146.1737645145.1737645145.1%3B%2B__utmz%3D80123009.1737645145.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=6AAAAAAAAAAAAAAAAAABAAAE~"",""requestBody"":null,""responseData"":""GIF89a\u0001\u0000\u0001\u0000��\u0000���\u0000\u0000\u0000,\u0000\u0000\u0000\u0000\u0001\u0000\u0001\u0000\u0000\u0002\u0002D\u0001\u0000;""","https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=2101808735&utmhn=www.guzzle.co.za&utmt=event&utme=5(Track*page_95386*1)(0)&utmcs=UTF-8&utmsr=960x1707&utmvp=847x955&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=For%20all%20of%20SA%27s%20Retail%20%26%20Catalogue%20Newspaper%20Specials%20%E2%80%94%20www.guzzle.co.za&utmhid=2134918789&utmr=-&utmp=%2F&utmht=1737645148122&utmac=UA-35867421-1&utmni=1&utmcc=__utma%3D80123009.1224272066.1737645146.1737645145.1737645145.1%3B%2B__utmz%3D80123009.1737645145.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=6AAAAAAAAAAAAAAAAAABAAAE~","trackingPixel","[11,633]",NULL,"Google",NULL,NULL,"0",NULL
"22","1737645146952","location","https://www.guzzle.co.za/","{""reqUrl"":""https://cmp.inmobi.com/geoip"",""requestBody"":null,""responseData"":""{\""country\"":\""zaf\"",\""region\"":\""gp\"",\""city\"":\""johannesburg\""}""","https://cmp.inmobi.com/geoip","city","[126,138]",NULL,"InMobi","2222222222",NULL,"0",NULL
"23","1737645217083","monetization","https://www.ticketpro.co.za/",NULL,"https://js-eu1.usemessages.com/conversations-embed.js","analytics","-1",NULL,NULL,NULL,NULL,"0",NULL
"24","1737645217099","monetization","https://www.ticketpro.co.za/",NULL,"https://js-eu1.hs-analytics.net/analytics/1737638100000/26724768.js","analytics","-1",NULL,"HubSpot",NULL,NULL,"0",NULL
"25","1737645227787","monetization","https://www.ticketpro.co.za/",NULL,"https://track-eu1.hubspot.com/__ptq.gif?k=1&sd=960x1707&cd=24-bit&cs=UTF-8&ln=en-us&bfp=2781075354&v=1.1&a=26724768&r=https%3A%2F%2Fwww.ticketpros.co.za%2F&pu=https%3A%2F%2Fwww.ticketpro.co.za%2F&t=Ticketpro&cts=1737645217096&vi=eeb7dc2467a111fa5d3b12154bfde622&nc=true&ce=false&cc=0","analytics","-1",NULL,"HubSpot",NULL,NULL,"0",NULL
"26","1737645221486","monetization","https://www.ticketpro.co.za/",NULL,"https://js-eu1.hs-banner.com/v2/26724768/banner.js","advertising","-1",NULL,NULL,NULL,NULL,"0",NULL
"27","1737645439546","monetization","https://www.nhls.ac.za/",NULL,"https://www.google-analytics.com/analytics.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"28","1737645772264","monetization","https://www.nicd.ac.za/",NULL,"https://www.google-analytics.com/analytics.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"29","1737645771566","monetization","https://www.nicd.ac.za/",NULL,"https://mc.us3.list-manage.com/subscribe/form-settings?u=6a4988011a2f3bcb46e933242&id=27c2399aeb&f_id=undefined&u=6a4988011a2f3bcb46e933242&id=27c2399aeb&c=dojo_request_script_callbacks.dojo_request_script0","advertising","-1",NULL,"MailChimp",NULL,NULL,"0",NULL
"30","1737645771651","monetization","https://www.nicd.ac.za/",NULL,"https://downloads.mailchimp.com/js/signup-forms/popup/unique-methods/38d3020ee67bdafdc3231e2272e1fa0689108cda/popup.js","advertising","-1",NULL,"MailChimp",NULL,NULL,"0",NULL
"31","1737645773368","monetization","https://www.nicd.ac.za/",NULL,"https://stats.g.doubleclick.net/g/collect?v=2&tid=G-SN449WMZ1L&cid=298438869.1737645771&gtm=45je51m0v9116843269za200&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=102067555~102067808~102081485~102123608","advertising","-1",NULL,"Google",NULL,NULL,"0",NULL
"32","1737645928237","monetization","https://www.wesbank.co.za/home/",NULL,"https://static.hotjar.com/c/hotjar-654642.js?sv=7","analytics","-1",NULL,"Hotjar",NULL,NULL,"0",NULL
"33","1737645930686","monetization","https://www.wesbank.co.za/home/",NULL,"https://www.google-analytics.com/analytics.js","analytics","-1",NULL,"Google",NULL,NULL,"0",NULL
"34","1737645929741","monetization","https://www.wesbank.co.za/home/",NULL,"https://connect.facebook.net/signals/config/506741027320901?v=2.9.180&r=stable&domain=www.wesbank.co.za&hme=1b2b48fb279bc2e2881583cc2153b57f55e340ed882b2c5394167c8bc992d930&ex_m=70%2C122%2C107%2C111%2C61%2C4%2C100%2C69%2C16%2C97%2C89%2C51%2C54%2C174%2C177%2C189%2C185%2C186%2C188%2C29%2C101%2C53%2C77%2C187%2C169%2C172%2C182%2C183%2C190%2C132%2C41%2C192%2C193%2C34%2C144%2C15%2C50%2C198%2C197%2C134%2C18%2C40%2C1%2C43%2C65%2C66%2C67%2C71%2C93%2C17%2C14%2C96%2C92%2C91%2C108%2C52%2C110%2C39%2C109%2C30%2C94%2C26%2C170%2C173%2C141%2C86%2C56%2C84%2C33%2C73%2C0%2C95%2C32%2C28%2C82%2C83%2C88%2C47%2C46%2C87%2C37%2C11%2C12%2C13%2C6%2C7%2C25%2C22%2C23%2C57%2C62%2C64%2C75%2C102%2C27%2C76%2C9%2C8%2C80%2C48%2C21%2C104%2C103%2C105%2C98%2C10%2C20%2C3%2C38%2C74%2C19%2C5%2C90%2C81%2C44%2C35%2C85%2C2%2C36%2C63%2C42%2C106%2C45%2C79%2C68%2C112%2C60%2C59%2C31%2C99%2C58%2C55%2C49%2C78%2C72%2C24%2C113","social","-1",NULL,"Facebook",NULL,NULL,"0",NULL
"35","1737645929885","monetization","https://www.wesbank.co.za/home/",NULL,"https://www.facebook.com/tr/?id=506741027320901&ev=PageView&dl=https%3A%2F%2Fwww.wesbank.co.za&rl=&if=false&ts=1737645929747&sw=960&sh=1707&v=2.9.180&r=stable&ec=0&o=4124&fbp=fb.2.1737645929746.845149822900341159&pm=1&hrl=dfb9b0&ler=empty&it=1737645929259&coo=false&cs_cc=1&rqm=GET","social","-1",NULL,"Facebook",NULL,NULL,"0",NULL
